№;Категория;Наименование;Описание;PB;KKS;Ед. изм.;Кол-во НИЗ;Цена
30;Программные детали;Лопатка направляющая 9-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000008789;MBA__HA018G009;шт.;8;340,81
31;Программные детали;Лопатка направляющая 10-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000008790;MBA__HA019G009;шт.;8;328,63
32;Программные детали;Лопатка направляющая 11-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000008791;MBA__HA020G009;шт.;8;316,46
33;Программные детали;Лопатка направляющая 12-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000008792;MBA__HA021G009;шт.;8;292,11
34;Программные детали;Лопатка направляющая 13-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000018875;MBA__HA022G009;шт.;8;231,25
35;Программные детали;Лопатка направляющая 13-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000018876;MBA__HA023G009;шт.;8;231,25
36;Программные детали;Лопатка направляющая 15-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000018877;MBA__HA024G009;шт.;8;219,08
37;Программные детали;Лопатка направляющая 16-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000018878;MBA__HA025G009;шт.;8;219,08
38;Программные детали;Лопатка рабочая 7-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000002822;MBA__HB017G103;шт.;4;854,65
39;Программные детали;Лопатка рабочая 8-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000002808;MBA__HB018G103;шт.;4;684,08
40;Программные детали;Лопатка рабочая 9-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000002812;MBA__HB019G103;шт.;4;650,25
41;Программные детали;Лопатка рабочая 10-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000002814;MBA__HB020G103;шт.;4;587,19
42;Программные детали;Лопатка рабочая 11-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000002823;MBA__HB021G103;шт.;4;489,39
43;Программные детали;Лопатка рабочая 12-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000002824;MBA__HB022G103;шт.;4;469,9
44;Программные детали;Лопатка рабочая 13-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000018879;MBA__HB023G103;шт.;4;458,52
45;Программные детали;Лопатка рабочая 13-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000018880;MBA__HB024G103;шт.;4;389,49
46;Программные детали;Лопатка рабочая 15-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000018881;MBA__HB025G103;шт.;4;377,32
47;Программные детали;Лопатка рабочая 16-й ступени компрессора ;"Для компрессора ""версии Т4"", без защитного покрытия";PB0000018882;MBA__HB026G103;шт.;4;377,32
48;Другие детали;Сегментное уплотнительное кольцо 2-й ступени турбины;;PB0000009052;MBA47HA032G001;шт.;1;16432,07
49;Другие детали;Сегментное уплотнительное кольцо 3-й ступени турбины;;PB0000009053;MBA47HA033G001;шт.;1;16432,07
50;Другие детали;Сегментное уплотнительное кольцо 4-й ступени турбины;;PB0000007762;MBA47HA034G001;шт.;1;17649,25
51;Другие детали;Горелка однотопливная;"в сборе 
в состав долнжы быть включены:
- корпус горелки
- имитатор форсунки жидкого топлива
- электрод";PB0000167334;–;шт.;16;15823,47
52;Другие детали;Газораспределитель в сборе с диагональными завихрителями;Т00289;PB0000272785;;компл.;2;86800
53;Другие детали;Переходное кольцо;Т00295;PB0000002270;;шт.;2;11200
54;Другие детали;Подшипник турбины в сборе;;PB0000008135;MBD__HD006G;шт.;1;26778,19
55;Другие детали;Уплотнительное кольцо направляющего аппарата 1-й ступени турбины;Т00297;PB0000007877;MBA__HA004G025;шт.;2;6500
56;Другие детали;Насос NSS 65-200/02/218 W106 с защитной сеткой, без электродвигателя;Поставляется вместе с муфтой;;;шт.;1;16154,55
57;Другие детали;Муфта Poly-Norm 55 AR;Поставляется вместе с насосом;;;шт.;1;0
58;Другие детали;Электродвигатель 1LE1002;Электродвигатель Siemens 1LE1002-2AA53-4GA4-Z B02+D22+D47+Q02+Y80;;;шт.;1;0
59;Дополнительная поставка;Шаровой кран диффузионного горения с приводами новой модификации;;;;шт.;2;15983,24
60;Дополнительная поставка;Шаровой кран предварительного смешивания с приводами новой модификации;;;;шт.;2;15983,24
61;Дополнительная поставка;Шаровой кран пилотного газа с приводами новой модификации;;;;шт.;2;12618,15
62;Дополнительная поставка;Термостатический клапан;4BRSC11507-00-FFS;;;шт.;1;13650
63;Дополнительная поставка;Запасные части клапана Pruss 2006.2124 4.0/2 MBP13AA051KA01;DS 68002094;;;компл.;1;6535
64;Дополнительная поставка;Запасные части клапана Pruss 2006.2124 4.0/2 MBP13AA051KA01;IG 68002094;;;компл.;1;13550
65;Дополнительная поставка;Запасные части клапана Pruss 2006.2124 4.0/2 MBP13AA051KA01;64500194;;;компл.;1;3440
66;Дополнительная поставка;Запасные части клапана Pruss 2007.1542 4.0/1 MBP15AA151KA01;DS 68000654;;;компл.;1;2390
67;Дополнительная поставка;Запасные части клапана Pruss 2007.1542 4.0/1 MBP15AA151KA01;IG 68000654;;;компл.;1;6335
68;Дополнительная поставка;Запасные части клапана Pruss 2007.1542 4.0/1 MBP15AA151KA01;64501244;;;компл.;1;4890
69;Дополнительная поставка;Уплотнение;30001860 (черт. 1.5055 поз.7);;;шт.;9;20
70;Дополнительная поставка;Уплотнение;01750001 (черт. 1.5055 поз.16);;;шт.;3;811
71;Дополнительная поставка;Кольцо уплотнительное;30100569 (черт. 1.5055 поз.17);;;шт.;12;22
72;Дополнительная поставка;Уплотнение;30048005 (черт. 1.5055 поз.18);;;шт.;3;29
73;Дополнительная поставка;Болт;01200125 (черт. 2.3731 поз.А4);;;шт.;3;166
74;Дополнительная поставка;Кольцо уплотнительное о-образное;41000017 (черт. 2.3731 поз.А8);;;шт.;6;10
75;Дополнительная поставка;Уплотнение;30001207 (черт. 2.3731 поз.А10);;;шт.;3;18
76;Дополнительная поставка;Уплотнение;30008090 (черт. 2.3731 поз.А11);;;шт.;3;32
77;Дополнительная поставка;Уплотнение;30020005 (черт. 2.3731 поз.А21);;;шт.;3;28
78;Дополнительная поставка;Кольцо набивки;30100053 (черт. 2.3731 поз.А27);;;шт.;12;27
79;Дополнительная поставка;Уплотнение;30001546 (черт. 2.3731 поз.А29);;;шт.;3;15
80;Дополнительная поставка;Кольцо уплотнительное о-образное;41020019 (черт. 2.3731 поз.А30);;;шт.;3;10
81;Дополнительная поставка;Кольцо поршневое;41208006 (черт. 2.3731 поз.А33);;;шт.;9;350
82;Дополнительная поставка;Сервопривод быстрозапорного клапана основного газа CXEXMF3/50 20/ ..65S10/S1EAUSEW-D900116;;;;шт.;1;30061
83;Дополнительная поставка;Сервопривод регулирующего клапана пилотного газа CXSA160C/25 20- 65X10/10S01 A00112;;;;шт.;1;45022
84;Дополнительная поставка;E-кольцо;Т00296;;;шт.;1;16800
85;Дополнительная поставка;;;;;шт.;2;
86;Дополнительная поставка;;;;;компл.;1;
87;Малые детали;Вставка резьбовая;;PB0000009516;MBA__HA081G033;шт.;20;5
88;Малые детали;Вставка резьбовая;;PB0000002104;MBA__HA081G029;шт.;192;5
89;Малые детали;Вставка резьбовая;;PB0000001945;MBA__HA081G032;шт.;16;5
90;Малые детали;Вставка резьбовая;;PB0000004146;MBA__HA081G034;шт.;168;1
91;Малые детали;Вставка резьбовая;;PB0000001104;MBA__HA081G035;шт.;48;16
92;Малые детали;Вставка резьбовая;;PB0000045610;MBA__HA081G037;шт.;12;2
93;Малые детали;Шпилька;;PB0000000034;MBA__HA081G004;шт.;1;160
94;Малые детали;Шайба;;PB0000007095;MBA__HA081G008;шт.;1;70
95;Малые детали;Шайба;;PB0000006966;MBA__HA081G012;шт.;1;70
96;Малые детали;Шайба;;PB0000006968;MBA__HA081G013;шт.;1;70
97;Малые детали;Уплотнение круглое;;PB0000046494;MBA__HA081G023;шт.;1;290
98;Малые детали;Болт калиброванный;;PB0000000176;MBA__HA081G005;шт.;2;198
99;Малые детали;Винт с головкой;;PB0000001137;MBA__HA081G009;шт.;2;655
100;Малые детали;Гайка колпачковая;;PB0000000036;MBA__HA081G010;шт.;2;263
101;Малые детали;Шайба;;PB0000006964;MBA__HA081G011;шт.;2;68
102;Малые детали;Штифт конический;;PB0000000984;MBA__HA081G018;шт.;2;53
103;Малые детали;Болт;;PB0000000595;MBA__HA081G024;шт.;2;20
104;Малые детали;Болт;;PB0000006052;MBA__HA081G025;шт.;2;250
105;Малые детали;Пробка резьбовая;;PB0000000010;MBA__HA081G901;шт.;4;26
